executed_at,chain,platform,application,transaction_id,trade_uuid,type,amount,token_symbol,token_original_id,token_symbol_uuid,caaj_from,caaj_to,comment
2022-02-26 08:12:02,osmosis,osmosis,swap,2C23CA4D0DDF1E78A8A348CC2BD25C43EDDEBD09563DA46282352FABB2FCF135,322e9ae0-9ef3-4653-8014-ed2ce7730022,get,4.352077,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-01 02:43:51,osmosis,osmosis,osmosis,4269E48690F62C51183B459E4DA5251A76AC5AA3606412DAB365B40454E6EC4C,1c0ea0ec-0bdc-44b0-bd79-249f3f4f731d,receive,46.211564,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-01 02:44:04,osmosis,osmosis,swap,B87691FBEE81E6593811BDD7E36DFE88659EF3558A51504F3BE487D104BA294D,ba18e794-1b39-4d23-8ee3-b1467dcf0989,lose,46.211564,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-03-01 02:44:04,osmosis,osmosis,swap,B87691FBEE81E6593811BDD7E36DFE88659EF3558A51504F3BE487D104BA294D,ba18e794-1b39-4d23-8ee3-b1467dcf0989,get,5.707506,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-03 08:58:54,osmosis,osmosis,osmosis,2EDC3C28ED384E332EFE3A000B918C5E7627D00FCE1C22D65ED698B6E6A3C125,35788646-e897-495e-be3e-47c020011cf7,receive,36.793453,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-03 08:59:07,osmosis,osmosis,swap,E70A3227D009E8651533DFBC9FC18BD3FB5C3C6E0C68F43EAB9B4E03BA859754,38ef7a38-5a1c-4622-82a9-cfe8e7f074b8,lose,36.793453,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-03-03 08:59:07,osmosis,osmosis,swap,E70A3227D009E8651533DFBC9FC18BD3FB5C3C6E0C68F43EAB9B4E03BA859754,38ef7a38-5a1c-4622-82a9-cfe8e7f074b8,get,4.117861,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-07 14:18:22,osmosis,osmosis,osmosis,69D52D716FC0387A2C07FBCEC01E9EFE0E6878B785051006E8D1D2F9870B0A04,70866f00-b415-4b3f-a93a-b3bd02239aca,receive,67.149165,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-07 14:18:40,osmosis,osmosis,swap,8276607BF3C7EBA8AEA04EC4073EC32290E06540B2C7FC5D38730B2CF6842A28,f44acef0-2dfa-4919-9f4c-e479ab0f51ef,lose,67.149165,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-03-07 14:18:40,osmosis,osmosis,swap,8276607BF3C7EBA8AEA04EC4073EC32290E06540B2C7FC5D38730B2CF6842A28,f44acef0-2dfa-4919-9f4c-e479ab0f51ef,get,6.014743,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-10 01:05:36,osmosis,osmosis,osmosis,37DDF6D78D1D7502ED0150C1282EA520A0C3E72D3735CD9949502439DF0C5C34,029a78ec-e9c3-4180-a61e-e3b1872980c7,receive,38.291269,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-10 01:05:48,osmosis,osmosis,swap,975F0016711B3AEC917921518066452D764463D9032F5AC80057FF92239B80EC,ec21e8d7-838c-405b-adc4-5e3ffc57b4c9,lose,38.291269,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-03-10 01:05:48,osmosis,osmosis,swap,975F0016711B3AEC917921518066452D764463D9032F5AC80057FF92239B80EC,ec21e8d7-838c-405b-adc4-5e3ffc57b4c9,get,3.517985,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-14 01:14:45,osmosis,osmosis,osmosis,8F0E92425782DD4B2F3A8C7395527EAEDC34B7B9122E6CD881F001479EF00E40,ff7746aa-5adc-43b0-b1a7-44e1da6247bb,receive,54.623189,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-14 01:14:57,osmosis,osmosis,swap,CFB1D5A3542B920A5194C4116F1EC2C79460F6ACE8624C6CF0E4E6604FE76A75,aff8c6ce-9e4d-45e1-bfe6-2970f5c94127,lose,54.623189,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-03-14 01:14:57,osmosis,osmosis,swap,CFB1D5A3542B920A5194C4116F1EC2C79460F6ACE8624C6CF0E4E6604FE76A75,aff8c6ce-9e4d-45e1-bfe6-2970f5c94127,get,4.434762,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-18 02:09:44,osmosis,osmosis,osmosis,2E098B47E887AF9DB541CAE414723569F3C96E758DC33FC5A219323E78F16388,5b97f903-999a-44a4-b278-01a3466fb7f6,receive,52.002378,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-18 02:10:40,osmosis,osmosis,swap,E3C4F4B5C557273240E47BC5EBC098178E978EAF799B46C3D7742701538F21F9,1f739dbc-565c-44f8-aedc-b47961500297,lose,52.002378,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-03-18 02:10:40,osmosis,osmosis,swap,E3C4F4B5C557273240E47BC5EBC098178E978EAF799B46C3D7742701538F21F9,1f739dbc-565c-44f8-aedc-b47961500297,get,4.263018,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-23 11:16:19,osmosis,osmosis,osmosis,E600362819DB96AA5E5CC4AF34F50B2D1623BABE00D58FC686A6D2536CBA580E,17a326ec-c65a-4ddd-9a0f-e61b8f339d74,receive,63.277758,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-23 11:17:36,osmosis,osmosis,swap,0CCEC12BFC1653F98F7938988CCCDF0D3FAE9E3DD9F91A0A839726638FAF26AC,10187d98-c6af-4a74-a9e1-a18444714d1c,lose,63.277758,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-03-23 11:17:36,osmosis,osmosis,swap,0CCEC12BFC1653F98F7938988CCCDF0D3FAE9E3DD9F91A0A839726638FAF26AC,10187d98-c6af-4a74-a9e1-a18444714d1c,get,4.977433,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-29 01:38:55,osmosis,osmosis,osmosis,C3577380EA6EC1BE48AF189829A9E5B1D83FA8642CE52ACE8B14FF88F59019DC,4b9d5eed-c44c-4200-87e6-a9c5f5dec624,receive,65.64527,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-03-29 01:40:17,osmosis,osmosis,swap,FC5F7BC498A26C7397EFA86FEB24819235779622986ADE9FAC5FCC8CC1B503E5,24de5139-fcad-4f8f-8da7-f140c23c776a,lose,65.64527,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-03-29 01:40:17,osmosis,osmosis,swap,FC5F7BC498A26C7397EFA86FEB24819235779622986ADE9FAC5FCC8CC1B503E5,24de5139-fcad-4f8f-8da7-f140c23c776a,get,5.544034,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-04-05 10:07:06,osmosis,osmosis,osmosis,3F0C32025206752912F693383CFAA625D0DE87A2AFC61818DFE5E97969E3D834,c6eb0f35-14cb-4e49-a758-24fda13cf377,receive,86.149776,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
